,station_name,MONTH,Wind
0,ALYESKA AK US,1.0,6.0010829999999995
1,ALYESKA AK US,2.0,6.06924
2,ALYESKA AK US,3.0,6.586587000000001
3,ALYESKA AK US,4.0,6.633873
4,ALYESKA AK US,5.0,7.532658
5,ALYESKA AK US,6.0,7.468497
6,ALYESKA AK US,7.0,6.69024
7,ALYESKA AK US,8.0,6.212169
8,ALYESKA AK US,9.0,6.344874
9,ALYESKA AK US,10.0,6.106086
10,ALYESKA AK US,11.0,6.004746
11,ALYESKA AK US,12.0,5.69709
12,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,1.0,6.66787
13,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,2.0,6.74360
14,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,3.0,7.31843
15,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,4.0,7.37097
16,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,5.0,8.36962
17,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,6.0,8.29833
18,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,7.0,7.43360
19,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,8.0,6.90241
20,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,9.0,7.04986
21,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,10.0,6.78454
22,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,11.0,6.67194
23,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,12.0,6.33010
24,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,1.0,9.51875
25,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,2.0,9.20089
26,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,3.0,9.43272
27,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,4.0,8.96041
28,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,5.0,8.10927
29,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,6.0,7.74062
30,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,7.0,7.06895
31,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,8.0,7.14495
32,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,9.0,7.53687
33,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,10.0,8.95846
34,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,11.0,9.48604
35,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,12.0,9.40967
36,AUKE BAY AK US,1.0,7.2301
37,AUKE BAY AK US,2.0,7.30818
38,AUKE BAY AK US,3.0,7.86689
39,AUKE BAY AK US,4.0,7.83125
40,AUKE BAY AK US,5.0,7.46868
41,AUKE BAY AK US,6.0,7.04763
42,AUKE BAY AK US,7.0,6.79368
43,AUKE BAY AK US,8.0,6.92365
44,AUKE BAY AK US,9.0,7.81125
45,AUKE BAY AK US,10.0,8.53857
46,AUKE BAY AK US,11.0,7.60361
47,AUKE BAY AK US,12.0,7.76303
48,BARROW W POST W ROGERS AIRPORT AK US,1.0,12.4276
49,BARROW W POST W ROGERS AIRPORT AK US,2.0,12.6151
50,BARROW W POST W ROGERS AIRPORT AK US,3.0,11.7397
51,BARROW W POST W ROGERS AIRPORT AK US,4.0,11.905
52,BARROW W POST W ROGERS AIRPORT AK US,5.0,12.4590
53,BARROW W POST W ROGERS AIRPORT AK US,6.0,12.0491
54,BARROW W POST W ROGERS AIRPORT AK US,7.0,12.1786
55,BARROW W POST W ROGERS AIRPORT AK US,8.0,12.5145
56,BARROW W POST W ROGERS AIRPORT AK US,9.0,13.1780
57,BARROW W POST W ROGERS AIRPORT AK US,10.0,13.7411
58,BARROW W POST W ROGERS AIRPORT AK US,11.0,13.1793
59,BARROW W POST W ROGERS AIRPORT AK US,12.0,12.7982
60,BETHEL AIRPORT AK US,1.0,14.3376
61,BETHEL AIRPORT AK US,2.0,13.8867
62,BETHEL AIRPORT AK US,3.0,13.4803
63,BETHEL AIRPORT AK US,4.0,12.0413
64,BETHEL AIRPORT AK US,5.0,10.9346
65,BETHEL AIRPORT AK US,6.0,10.0245
66,BETHEL AIRPORT AK US,7.0,9.93481
67,BETHEL AIRPORT AK US,8.0,10.5388
68,BETHEL AIRPORT AK US,9.0,10.865
69,BETHEL AIRPORT AK US,10.0,11.6314
70,BETHEL AIRPORT AK US,11.0,12.4536
71,BETHEL AIRPORT AK US,12.0,12.9025
72,BETTLES AIRPORT AK US,1.0,5.14784
73,BETTLES AIRPORT AK US,2.0,5.39508
74,BETTLES AIRPORT AK US,3.0,6.20376
75,BETTLES AIRPORT AK US,4.0,6.73333
76,BETTLES AIRPORT AK US,5.0,6.71034
77,BETTLES AIRPORT AK US,6.0,6.185
78,BETTLES AIRPORT AK US,7.0,5.90483
79,BETTLES AIRPORT AK US,8.0,5.56008
80,BETTLES AIRPORT AK US,9.0,5.78361
81,BETTLES AIRPORT AK US,10.0,5.81491
82,BETTLES AIRPORT AK US,11.0,5.15555
83,BETTLES AIRPORT AK US,12.0,4.95604
84,BIG DELTA AIRPORT AK US,1.0,12.2767
85,BIG DELTA AIRPORT AK US,2.0,10.8315
86,BIG DELTA AIRPORT AK US,3.0,9.44226
87,BIG DELTA AIRPORT AK US,4.0,8.29
88,BIG DELTA AIRPORT AK US,5.0,7.95362
89,BIG DELTA AIRPORT AK US,6.0,7.12291
90,BIG DELTA AIRPORT AK US,7.0,6.23279
91,BIG DELTA AIRPORT AK US,8.0,6.51706
92,BIG DELTA AIRPORT AK US,9.0,7.92680
93,BIG DELTA AIRPORT AK US,10.0,8.39744
94,BIG DELTA AIRPORT AK US,11.0,10.2681
95,BIG DELTA AIRPORT AK US,12.0,11.8141
96,BIG RIVER LAKES AK US,1.0,2.4110264396103873
97,BIG RIVER LAKES AK US,2.0,7.857924011440353
98,BIG RIVER LAKES AK US,3.0,5.855736493060482
99,BIG RIVER LAKES AK US,4.0,5.4292442864776875
100,BIG RIVER LAKES AK US,5.0,9.421012901702474
101,BIG RIVER LAKES AK US,6.0,5.516857842345307
102,BIG RIVER LAKES AK US,7.0,4.9423185701852494
103,BIG RIVER LAKES AK US,8.0,7.144383371744863
104,BIG RIVER LAKES AK US,9.0,6.213416680129755
105,BIG RIVER LAKES AK US,10.0,10.535274528488346
106,BIG RIVER LAKES AK US,11.0,5.891234916176823
107,BIG RIVER LAKES AK US,12.0,5.559281564833034
108,CANNERY CREEK AK US,1.0,7.200908246498148
109,CANNERY CREEK AK US,2.0,6.521417830556953
110,CANNERY CREEK AK US,3.0,5.539137061596427
111,CANNERY CREEK AK US,4.0,4.353337392968523
112,CANNERY CREEK AK US,5.0,5.9083527328574235
113,CANNERY CREEK AK US,6.0,6.0692582052269834
114,CANNERY CREEK AK US,7.0,5.742987407781242
115,CANNERY CREEK AK US,8.0,4.412247537259305
116,CANNERY CREEK AK US,9.0,3.78944163445883
117,CANNERY CREEK AK US,10.0,5.548156988418815
118,CANNERY CREEK AK US,11.0,13.702200902233242
119,CANNERY CREEK AK US,12.0,5.343404649551753
120,COLD BAY AIRPORT AK US,1.0,16.9534
121,COLD BAY AIRPORT AK US,2.0,17.3043
122,COLD BAY AIRPORT AK US,3.0,17.2397
123,COLD BAY AIRPORT AK US,4.0,16.7158
124,COLD BAY AIRPORT AK US,5.0,15.8977
125,COLD BAY AIRPORT AK US,6.0,15.2301
126,COLD BAY AIRPORT AK US,7.0,14.9760
127,COLD BAY AIRPORT AK US,8.0,15.4481
128,COLD BAY AIRPORT AK US,9.0,15.8948
129,COLD BAY AIRPORT AK US,10.0,16.3123
130,COLD BAY AIRPORT AK US,11.0,17.3893
131,COLD BAY AIRPORT AK US,12.0,17.3018
132,COLLEGE 5 NW AK US,1.0,2.71397
133,COLLEGE 5 NW AK US,2.0,3.28616
134,COLLEGE 5 NW AK US,3.0,5.05087
135,COLLEGE 5 NW AK US,4.0,5.96513
136,COLLEGE 5 NW AK US,5.0,6.81895
137,COLLEGE 5 NW AK US,6.0,6.27944
138,COLLEGE 5 NW AK US,7.0,5.7965
139,COLLEGE 5 NW AK US,8.0,5.51303
140,COLLEGE 5 NW AK US,9.0,5.25486
141,COLLEGE 5 NW AK US,10.0,4.46478
142,COLLEGE 5 NW AK US,11.0,2.97083
143,COLLEGE 5 NW AK US,12.0,2.3629
144,COLLEGE OBSERVATORY AK US,1.0,2.71397
145,COLLEGE OBSERVATORY AK US,2.0,3.28616
146,COLLEGE OBSERVATORY AK US,3.0,5.05087
147,COLLEGE OBSERVATORY AK US,4.0,5.96513
148,COLLEGE OBSERVATORY AK US,5.0,6.81895
149,COLLEGE OBSERVATORY AK US,6.0,6.27944
150,COLLEGE OBSERVATORY AK US,7.0,5.7965
151,COLLEGE OBSERVATORY AK US,8.0,5.51303
152,COLLEGE OBSERVATORY AK US,9.0,5.25486
153,COLLEGE OBSERVATORY AK US,10.0,4.46478
154,COLLEGE OBSERVATORY AK US,11.0,2.97083
155,COLLEGE OBSERVATORY AK US,12.0,2.3629
156,COOPER LANDING 5 W AK US,1.0,7.245105887927613
157,COOPER LANDING 5 W AK US,2.0,10.405108394035528
158,COOPER LANDING 5 W AK US,3.0,10.287827869328932
159,COOPER LANDING 5 W AK US,4.0,10.023052928529722
160,COOPER LANDING 5 W AK US,5.0,9.020828815018175
161,COOPER LANDING 5 W AK US,6.0,10.49032522649039
162,COOPER LANDING 5 W AK US,7.0,8.189792890453615
163,COOPER LANDING 5 W AK US,8.0,8.487149811363285
164,COOPER LANDING 5 W AK US,9.0,8.409037245081862
165,COOPER LANDING 5 W AK US,10.0,11.908408055075252
166,COOPER LANDING 5 W AK US,11.0,11.745808840891305
167,COOPER LANDING 5 W AK US,12.0,9.028345420703419
168,CORDOVA M K SMITH AIRPORT AK US,1.0,5.291089073982241
169,CORDOVA M K SMITH AIRPORT AK US,2.0,8.239735366228242
170,CORDOVA M K SMITH AIRPORT AK US,3.0,6.4179785983194115
171,CORDOVA M K SMITH AIRPORT AK US,4.0,4.964457479463615
172,CORDOVA M K SMITH AIRPORT AK US,5.0,4.261614759326292
173,CORDOVA M K SMITH AIRPORT AK US,6.0,4.292132178408535
174,CORDOVA M K SMITH AIRPORT AK US,7.0,5.92098063040867
175,CORDOVA M K SMITH AIRPORT AK US,8.0,3.1145807317525915
176,CORDOVA M K SMITH AIRPORT AK US,9.0,4.381920538854434
177,CORDOVA M K SMITH AIRPORT AK US,10.0,4.009958800983125
178,CORDOVA M K SMITH AIRPORT AK US,11.0,1.7025612984204732
179,CORDOVA M K SMITH AIRPORT AK US,12.0,4.8163402588999595
180,DUTCH HARBOR AK US,1.0,11.697341767432608
181,DUTCH HARBOR AK US,2.0,10.516955486632556
182,DUTCH HARBOR AK US,3.0,11.882550931517978
183,DUTCH HARBOR AK US,4.0,11.835597201337205
184,DUTCH HARBOR AK US,5.0,12.201555676801194
185,DUTCH HARBOR AK US,6.0,11.525221519380683
186,DUTCH HARBOR AK US,7.0,7.8581602476190735
187,DUTCH HARBOR AK US,8.0,5.416466056812709
188,DUTCH HARBOR AK US,9.0,12.783811997464818
189,DUTCH HARBOR AK US,10.0,13.166086518336295
190,DUTCH HARBOR AK US,11.0,11.004511166068085
191,DUTCH HARBOR AK US,12.0,14.98540575840146
192,EAGLE AIRPORT AK US,1.0,3.432082155898807
193,EAGLE AIRPORT AK US,2.0,3.4955545219069313
194,EAGLE AIRPORT AK US,3.0,5.388203619436066
195,EAGLE AIRPORT AK US,4.0,4.6863931798128355
196,EAGLE AIRPORT AK US,5.0,4.929089344179129
197,EAGLE AIRPORT AK US,6.0,5.839660979034871
198,EAGLE AIRPORT AK US,7.0,3.4041203827495616
199,EAGLE AIRPORT AK US,8.0,5.716228291541653
200,EAGLE AIRPORT AK US,9.0,3.32123727739321
201,EAGLE AIRPORT AK US,10.0,4.525597950993339
202,EAGLE AIRPORT AK US,11.0,4.780841835783613
203,EAGLE AIRPORT AK US,12.0,1.9122244863352118
204,EIELSON FIELD AK US,1.0,5.258918001649218
205,EIELSON FIELD AK US,2.0,4.110380652938451
206,EIELSON FIELD AK US,3.0,5.184954601706068
207,EIELSON FIELD AK US,4.0,6.496141275305406
208,EIELSON FIELD AK US,5.0,6.437221108873726
209,EIELSON FIELD AK US,6.0,6.043471236656016
210,EIELSON FIELD AK US,7.0,4.454641193324274
211,EIELSON FIELD AK US,8.0,6.1699306107051655
212,EIELSON FIELD AK US,9.0,4.97688493419662
213,EIELSON FIELD AK US,10.0,4.177128111423734
214,EIELSON FIELD AK US,11.0,4.922825506108089
215,EIELSON FIELD AK US,12.0,1.62629280606716
216,FAIRBANKS INTERNATIONAL AIRPORT AK US,1.0,2.71397
217,FAIRBANKS INTERNATIONAL AIRPORT AK US,2.0,3.28616
218,FAIRBANKS INTERNATIONAL AIRPORT AK US,3.0,5.05087
219,FAIRBANKS INTERNATIONAL AIRPORT AK US,4.0,5.96513
220,FAIRBANKS INTERNATIONAL AIRPORT AK US,5.0,6.81895
221,FAIRBANKS INTERNATIONAL AIRPORT AK US,6.0,6.27944
222,FAIRBANKS INTERNATIONAL AIRPORT AK US,7.0,5.79650
223,FAIRBANKS INTERNATIONAL AIRPORT AK US,8.0,5.51303
224,FAIRBANKS INTERNATIONAL AIRPORT AK US,9.0,5.25486
225,FAIRBANKS INTERNATIONAL AIRPORT AK US,10.0,4.46478
226,FAIRBANKS INTERNATIONAL AIRPORT AK US,11.0,2.97083
227,FAIRBANKS INTERNATIONAL AIRPORT AK US,12.0,2.36290
228,GLEN ALPS AK US,1.0,12.9356678
229,GLEN ALPS AK US,2.0,13.082583999999999
230,GLEN ALPS AK US,3.0,14.1977542
231,GLEN ALPS AK US,4.0,14.299681799999998
232,GLEN ALPS AK US,5.0,16.237062799999997
233,GLEN ALPS AK US,6.0,16.0987602
234,GLEN ALPS AK US,7.0,14.421184
235,GLEN ALPS AK US,8.0,13.3906754
236,GLEN ALPS AK US,9.0,13.6767284
237,GLEN ALPS AK US,10.0,13.162007599999999
238,GLEN ALPS AK US,11.0,12.9435636
239,GLEN ALPS AK US,12.0,12.280394
240,GULKANA AIRPORT AK US,1.0,2.94331
241,GULKANA AIRPORT AK US,2.0,3.73020
242,GULKANA AIRPORT AK US,3.0,5.37362
243,GULKANA AIRPORT AK US,4.0,6.32194
244,GULKANA AIRPORT AK US,5.0,7.17083
245,GULKANA AIRPORT AK US,6.0,6.86916
246,GULKANA AIRPORT AK US,7.0,6.63373
247,GULKANA AIRPORT AK US,8.0,6.45201
248,GULKANA AIRPORT AK US,9.0,6.46676
249,GULKANA AIRPORT AK US,10.0,4.58817
250,GULKANA AIRPORT AK US,11.0,3.01723
251,GULKANA AIRPORT AK US,12.0,2.92121
252,HOMER 8 NW AK US,1.0,7.891
253,HOMER 8 NW AK US,2.0,7.50648
254,HOMER 8 NW AK US,3.0,8.21421
255,HOMER 8 NW AK US,4.0,8.28911
256,HOMER 8 NW AK US,5.0,8.37386
257,HOMER 8 NW AK US,6.0,8.02972
258,HOMER 8 NW AK US,7.0,7.49954
259,HOMER 8 NW AK US,8.0,7.17811
260,HOMER 8 NW AK US,9.0,7.37001
261,HOMER 8 NW AK US,10.0,7.52243
262,HOMER 8 NW AK US,11.0,7.77666
263,HOMER 8 NW AK US,12.0,7.91965
264,HOMER AIRPORT AK US,1.0,7.891
265,HOMER AIRPORT AK US,2.0,7.50648
266,HOMER AIRPORT AK US,3.0,8.21421
267,HOMER AIRPORT AK US,4.0,8.28911
268,HOMER AIRPORT AK US,5.0,8.37386
269,HOMER AIRPORT AK US,6.0,8.02972
270,HOMER AIRPORT AK US,7.0,7.49954
271,HOMER AIRPORT AK US,8.0,7.17811
272,HOMER AIRPORT AK US,9.0,7.37001
273,HOMER AIRPORT AK US,10.0,7.52243
274,HOMER AIRPORT AK US,11.0,7.77666
275,HOMER AIRPORT AK US,12.0,7.91965
276,ILIAMNA AIRPORT AK US,1.0,12.785445606433735
277,ILIAMNA AIRPORT AK US,2.0,12.211971544679376
278,ILIAMNA AIRPORT AK US,3.0,13.076187914340373
279,ILIAMNA AIRPORT AK US,4.0,8.141846968322453
280,ILIAMNA AIRPORT AK US,5.0,8.397251207367335
281,ILIAMNA AIRPORT AK US,6.0,10.177153367218914
282,ILIAMNA AIRPORT AK US,7.0,9.687100742961373
283,ILIAMNA AIRPORT AK US,8.0,8.998278997962355
284,ILIAMNA AIRPORT AK US,9.0,9.13946089701371
285,ILIAMNA AIRPORT AK US,10.0,12.269505792196119
286,ILIAMNA AIRPORT AK US,11.0,11.781537773248669
287,ILIAMNA AIRPORT AK US,12.0,12.04881824927635
288,JUNEAU INTERNATIONAL AIRPORT AK US,1.0,7.23010
289,JUNEAU INTERNATIONAL AIRPORT AK US,2.0,7.30818
290,JUNEAU INTERNATIONAL AIRPORT AK US,3.0,7.86689
291,JUNEAU INTERNATIONAL AIRPORT AK US,4.0,7.83125
292,JUNEAU INTERNATIONAL AIRPORT AK US,5.0,7.46868
293,JUNEAU INTERNATIONAL AIRPORT AK US,6.0,7.04763
294,JUNEAU INTERNATIONAL AIRPORT AK US,7.0,6.79368
295,JUNEAU INTERNATIONAL AIRPORT AK US,8.0,6.92365
296,JUNEAU INTERNATIONAL AIRPORT AK US,9.0,7.81125
297,JUNEAU INTERNATIONAL AIRPORT AK US,10.0,8.53857
298,JUNEAU INTERNATIONAL AIRPORT AK US,11.0,7.60361
299,JUNEAU INTERNATIONAL AIRPORT AK US,12.0,7.76303
300,KENAI MUNICIPAL AIRPORT AK US,1.0,9.42311755129435
301,KENAI MUNICIPAL AIRPORT AK US,2.0,6.040408756739677
302,KENAI MUNICIPAL AIRPORT AK US,3.0,10.289331190465992
303,KENAI MUNICIPAL AIRPORT AK US,4.0,7.664011333838731
304,KENAI MUNICIPAL AIRPORT AK US,5.0,8.812167841194773
305,KENAI MUNICIPAL AIRPORT AK US,6.0,8.081884499235741
306,KENAI MUNICIPAL AIRPORT AK US,7.0,8.780297433089233
307,KENAI MUNICIPAL AIRPORT AK US,8.0,6.322968702457443
308,KENAI MUNICIPAL AIRPORT AK US,9.0,7.48816284936684
309,KENAI MUNICIPAL AIRPORT AK US,10.0,7.196398283086995
310,KENAI MUNICIPAL AIRPORT AK US,11.0,6.66515465967414
311,KENAI MUNICIPAL AIRPORT AK US,12.0,8.385224638270849
312,KING SALMON AIRPORT AK US,1.0,10.1759
313,KING SALMON AIRPORT AK US,2.0,10.3224
314,KING SALMON AIRPORT AK US,3.0,10.8632
315,KING SALMON AIRPORT AK US,4.0,10.4687
316,KING SALMON AIRPORT AK US,5.0,10.2747
317,KING SALMON AIRPORT AK US,6.0,9.56583
