,STATION_NAME,MONTH,RHum (%)
0,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,1,75.78494623655914
1,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,2,77.02678571428571
2,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,3,60.80107526881721
3,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,4,64.65555555555555
4,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,5,61.62903225806452
5,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,6,64.15138888888889
6,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,7,70.94086021505376
7,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,8,72.31317204301075
8,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,9,73.33611111111111
9,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,10,75.91263440860214
10,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,11,79.975
11,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,12,85.55779569892474
12,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,1,82.3225806451613
13,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,2,76.59821428571429
14,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,3,72.50940860215054
15,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,4,77.46944444444445
16,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,5,76.38709677419355
17,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,6,80.8638888888889
18,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,7,78.84811827956989
19,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,8,81.01209677419355
20,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,9,86.96527777777777
21,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,10,86.71908602150538
22,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,11,85.25694444444444
23,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,12,81.98118279569893
24,BARROW W POST W ROGERS AIRPORT AK US,1,77.86962365591398
25,BARROW W POST W ROGERS AIRPORT AK US,2,75.60714285714286
26,BARROW W POST W ROGERS AIRPORT AK US,3,79.76478494623656
27,BARROW W POST W ROGERS AIRPORT AK US,4,78.80694444444444
28,BARROW W POST W ROGERS AIRPORT AK US,5,88.0
29,BARROW W POST W ROGERS AIRPORT AK US,6,89.34861111111111
30,BARROW W POST W ROGERS AIRPORT AK US,7,89.44623655913979
31,BARROW W POST W ROGERS AIRPORT AK US,8,85.73790322580645
32,BARROW W POST W ROGERS AIRPORT AK US,9,85.6
33,BARROW W POST W ROGERS AIRPORT AK US,10,96.97043010752688
34,BARROW W POST W ROGERS AIRPORT AK US,11,83.78472222222223
35,BARROW W POST W ROGERS AIRPORT AK US,12,78.58467741935483
36,BETHEL AIRPORT AK US,1,83.45564516129032
37,BETHEL AIRPORT AK US,2,76.97172619047619
38,BETHEL AIRPORT AK US,3,84.99059139784946
39,BETHEL AIRPORT AK US,4,79.05
40,BETHEL AIRPORT AK US,5,72.99193548387096
41,BETHEL AIRPORT AK US,6,77.10972222222222
42,BETHEL AIRPORT AK US,7,77.89784946236558
43,BETHEL AIRPORT AK US,8,88.44354838709677
44,BETHEL AIRPORT AK US,9,80.9263888888889
45,BETHEL AIRPORT AK US,10,85.88172043010752
46,BETHEL AIRPORT AK US,11,79.88888888888889
47,BETHEL AIRPORT AK US,12,85.10887096774194
48,BETTLES AIRPORT AK US,1,66.88037634408602
49,BETTLES AIRPORT AK US,2,62.81547619047619
50,BETTLES AIRPORT AK US,3,68.07661290322581
51,BETTLES AIRPORT AK US,4,55.020833333333336
52,BETTLES AIRPORT AK US,5,57.611559139784944
53,BETTLES AIRPORT AK US,6,59.798611111111114
54,BETTLES AIRPORT AK US,7,65.11021505376344
55,BETTLES AIRPORT AK US,8,78.13575268817205
56,BETTLES AIRPORT AK US,9,77.21666666666667
57,BETTLES AIRPORT AK US,10,85.31048387096774
58,BETTLES AIRPORT AK US,11,81.20555555555555
59,BETTLES AIRPORT AK US,12,69.09274193548387
60,BIG DELTA AIRPORT AK US,1,66.60618279569893
61,BIG DELTA AIRPORT AK US,2,60.657738095238095
62,BIG DELTA AIRPORT AK US,3,54.86424731182796
63,BIG DELTA AIRPORT AK US,4,54.290277777777774
64,BIG DELTA AIRPORT AK US,5,58.54704301075269
65,BIG DELTA AIRPORT AK US,6,54.65694444444444
66,BIG DELTA AIRPORT AK US,7,56.64247311827957
67,BIG DELTA AIRPORT AK US,8,60.14381720430107
68,BIG DELTA AIRPORT AK US,9,68.54583333333333
69,BIG DELTA AIRPORT AK US,10,75.67338709677419
70,BIG DELTA AIRPORT AK US,11,74.54166666666667
71,BIG DELTA AIRPORT AK US,12,64.63844086021506
72,BIG RIVER LAKES AK US,1,71.09811827956989
73,BIG RIVER LAKES AK US,2,74.53125
74,BIG RIVER LAKES AK US,3,81.9247311827957
75,BIG RIVER LAKES AK US,4,87.0513888888889
76,BIG RIVER LAKES AK US,5,63.083333333333336
77,BIG RIVER LAKES AK US,6,79.28055555555555
78,BIG RIVER LAKES AK US,7,80.87768817204301
79,BIG RIVER LAKES AK US,8,80.36962365591398
80,BIG RIVER LAKES AK US,9,67.38055555555556
81,BIG RIVER LAKES AK US,10,61.689516129032256
82,BIG RIVER LAKES AK US,11,60.25833333333333
83,BIG RIVER LAKES AK US,12,73.45161290322581
84,COLD BAY AIRPORT AK US,1,84.11021505376344
85,COLD BAY AIRPORT AK US,2,84.48214285714286
86,COLD BAY AIRPORT AK US,3,79.93548387096774
87,COLD BAY AIRPORT AK US,4,78.40694444444445
88,COLD BAY AIRPORT AK US,5,79.78225806451613
89,COLD BAY AIRPORT AK US,6,87.7875
90,COLD BAY AIRPORT AK US,7,84.36693548387096
91,COLD BAY AIRPORT AK US,8,86.70430107526882
92,COLD BAY AIRPORT AK US,9,87.99722222222222
93,COLD BAY AIRPORT AK US,10,81.74731182795699
94,COLD BAY AIRPORT AK US,11,84.875
95,COLD BAY AIRPORT AK US,12,90.01075268817205
96,CORDOVA M K SMITH AIRPORT AK US,1,81.08736559139786
97,CORDOVA M K SMITH AIRPORT AK US,2,83.74404761904762
98,CORDOVA M K SMITH AIRPORT AK US,3,77.01612903225806
99,CORDOVA M K SMITH AIRPORT AK US,4,66.10694444444445
100,CORDOVA M K SMITH AIRPORT AK US,5,72.6760752688172
101,CORDOVA M K SMITH AIRPORT AK US,6,76.86527777777778
102,CORDOVA M K SMITH AIRPORT AK US,7,88.29166666666667
103,CORDOVA M K SMITH AIRPORT AK US,8,79.50940860215054
104,CORDOVA M K SMITH AIRPORT AK US,9,72.40416666666667
105,CORDOVA M K SMITH AIRPORT AK US,10,79.86290322580645
106,CORDOVA M K SMITH AIRPORT AK US,11,82.90972222222223
107,CORDOVA M K SMITH AIRPORT AK US,12,77.19623655913979
108,DUTCH HARBOR AK US,1,84.48655913978494
109,DUTCH HARBOR AK US,2,74.19494047619048
110,DUTCH HARBOR AK US,3,71.40322580645162
111,DUTCH HARBOR AK US,4,74.86805555555556
112,DUTCH HARBOR AK US,5,69.38440860215054
113,DUTCH HARBOR AK US,6,72.64444444444445
114,DUTCH HARBOR AK US,7,82.86290322580645
115,DUTCH HARBOR AK US,8,82.50403225806451
116,DUTCH HARBOR AK US,9,71.07777777777778
117,DUTCH HARBOR AK US,10,71.32795698924731
118,DUTCH HARBOR AK US,11,71.80416666666666
119,DUTCH HARBOR AK US,12,65.23252688172043
120,EIELSON FIELD AK US,1,87.5013440860215
121,EIELSON FIELD AK US,2,87.65625
122,EIELSON FIELD AK US,3,70.14112903225806
123,EIELSON FIELD AK US,4,67.45555555555555
124,EIELSON FIELD AK US,5,57.08736559139785
125,EIELSON FIELD AK US,6,50.16111111111111
126,EIELSON FIELD AK US,7,61.225806451612904
127,EIELSON FIELD AK US,8,75.79435483870968
128,EIELSON FIELD AK US,9,71.27777777777777
129,EIELSON FIELD AK US,10,86.9260752688172
130,EIELSON FIELD AK US,11,83.55833333333334
131,EIELSON FIELD AK US,12,91.18817204301075
132,FAIRBANKS INTERNATIONAL AIRPORT AK US,1,83.00268817204301
133,FAIRBANKS INTERNATIONAL AIRPORT AK US,2,76.00744047619048
134,FAIRBANKS INTERNATIONAL AIRPORT AK US,3,59.37096774193548
135,FAIRBANKS INTERNATIONAL AIRPORT AK US,4,48.955555555555556
136,FAIRBANKS INTERNATIONAL AIRPORT AK US,5,45.92607526881721
137,FAIRBANKS INTERNATIONAL AIRPORT AK US,6,57.21944444444444
138,FAIRBANKS INTERNATIONAL AIRPORT AK US,7,67.80510752688173
139,FAIRBANKS INTERNATIONAL AIRPORT AK US,8,67.91129032258064
140,FAIRBANKS INTERNATIONAL AIRPORT AK US,9,73.33611111111111
141,FAIRBANKS INTERNATIONAL AIRPORT AK US,10,76.46774193548387
142,FAIRBANKS INTERNATIONAL AIRPORT AK US,11,78.31666666666666
143,FAIRBANKS INTERNATIONAL AIRPORT AK US,12,79.75672043010752
144,GULKANA AIRPORT AK US,1,87.45833333333333
145,GULKANA AIRPORT AK US,2,73.54017857142857
146,GULKANA AIRPORT AK US,3,66.32795698924731
147,GULKANA AIRPORT AK US,4,55.05555555555556
148,GULKANA AIRPORT AK US,5,49.34543010752688
149,GULKANA AIRPORT AK US,6,59.25972222222222
150,GULKANA AIRPORT AK US,7,68.66397849462365
151,GULKANA AIRPORT AK US,8,70.09408602150538
152,GULKANA AIRPORT AK US,9,66.84166666666667
153,GULKANA AIRPORT AK US,10,82.81317204301075
154,GULKANA AIRPORT AK US,11,81.59861111111111
155,GULKANA AIRPORT AK US,12,79.38575268817205
156,HOMER AIRPORT AK US,1,80.64650537634408
157,HOMER AIRPORT AK US,2,60.51636904761905
158,HOMER AIRPORT AK US,3,72.45967741935483
159,HOMER AIRPORT AK US,4,74.51388888888889
160,HOMER AIRPORT AK US,5,72.98655913978494
161,HOMER AIRPORT AK US,6,74.90277777777777
162,HOMER AIRPORT AK US,7,80.94086021505376
163,HOMER AIRPORT AK US,8,79.50537634408602
164,HOMER AIRPORT AK US,9,84.375
165,HOMER AIRPORT AK US,10,77.51209677419355
166,HOMER AIRPORT AK US,11,67.49583333333334
167,HOMER AIRPORT AK US,12,78.6989247311828
168,ILIAMNA AIRPORT AK US,1,72.71505376344086
169,ILIAMNA AIRPORT AK US,2,81.77529761904762
170,ILIAMNA AIRPORT AK US,3,75.14784946236558
171,ILIAMNA AIRPORT AK US,4,67.9486111111111
172,ILIAMNA AIRPORT AK US,5,63.91532258064516
173,ILIAMNA AIRPORT AK US,6,67.23055555555555
174,ILIAMNA AIRPORT AK US,7,80.90591397849462
175,ILIAMNA AIRPORT AK US,8,77.24596774193549
176,ILIAMNA AIRPORT AK US,9,67.09305555555555
177,ILIAMNA AIRPORT AK US,10,72.70833333333333
178,ILIAMNA AIRPORT AK US,11,77.26666666666667
179,ILIAMNA AIRPORT AK US,12,78.08064516129032
180,JUNEAU INTERNATIONAL AIRPORT AK US,1,84.10887096774194
181,JUNEAU INTERNATIONAL AIRPORT AK US,2,74.59821428571429
182,JUNEAU INTERNATIONAL AIRPORT AK US,3,73.34005376344086
183,JUNEAU INTERNATIONAL AIRPORT AK US,4,79.38888888888889
184,JUNEAU INTERNATIONAL AIRPORT AK US,5,73.2513440860215
185,JUNEAU INTERNATIONAL AIRPORT AK US,6,79.30277777777778
186,JUNEAU INTERNATIONAL AIRPORT AK US,7,86.20430107526882
187,JUNEAU INTERNATIONAL AIRPORT AK US,8,84.11559139784946
188,JUNEAU INTERNATIONAL AIRPORT AK US,9,90.33055555555555
189,JUNEAU INTERNATIONAL AIRPORT AK US,10,88.48387096774194
190,JUNEAU INTERNATIONAL AIRPORT AK US,11,69.61527777777778
191,JUNEAU INTERNATIONAL AIRPORT AK US,12,88.55510752688173
192,KENAI MUNICIPAL AIRPORT AK US,1,84.61424731182795
193,KENAI MUNICIPAL AIRPORT AK US,2,86.97321428571429
194,KENAI MUNICIPAL AIRPORT AK US,3,72.9260752688172
195,KENAI MUNICIPAL AIRPORT AK US,4,68.37222222222222
196,KENAI MUNICIPAL AIRPORT AK US,5,65.80645161290323
197,KENAI MUNICIPAL AIRPORT AK US,6,75.28333333333333
198,KENAI MUNICIPAL AIRPORT AK US,7,82.29704301075269
199,KENAI MUNICIPAL AIRPORT AK US,8,76.58198924731182
200,KENAI MUNICIPAL AIRPORT AK US,9,66.98472222222222
201,KENAI MUNICIPAL AIRPORT AK US,10,82.20161290322581
202,KENAI MUNICIPAL AIRPORT AK US,11,80.4888888888889
203,KENAI MUNICIPAL AIRPORT AK US,12,75.91129032258064
204,KING SALMON AIRPORT AK US,1,87.59811827956989
205,KING SALMON AIRPORT AK US,2,67.5610119047619
206,KING SALMON AIRPORT AK US,3,74.4758064516129
207,KING SALMON AIRPORT AK US,4,75.10138888888889
208,KING SALMON AIRPORT AK US,5,75.75806451612904
209,KING SALMON AIRPORT AK US,6,78.48333333333333
210,KING SALMON AIRPORT AK US,7,81.15322580645162
211,KING SALMON AIRPORT AK US,8,77.1989247311828
212,KING SALMON AIRPORT AK US,9,80.58472222222223
213,KING SALMON AIRPORT AK US,10,80.45295698924731
214,KING SALMON AIRPORT AK US,11,81.0125
215,KING SALMON AIRPORT AK US,12,88.13440860215054
216,KODIAK AIRPORT AK US,1,76.90994623655914
217,KODIAK AIRPORT AK US,2,79.89136904761905
218,KODIAK AIRPORT AK US,3,67.34811827956989
219,KODIAK AIRPORT AK US,4,68.12083333333334
220,KODIAK AIRPORT AK US,5,75.88978494623656
221,KODIAK AIRPORT AK US,6,83.60277777777777
222,KODIAK AIRPORT AK US,7,84.78360215053763
223,KODIAK AIRPORT AK US,8,80.56586021505376
224,KODIAK AIRPORT AK US,9,81.13055555555556
225,KODIAK AIRPORT AK US,10,79.57795698924731
226,KODIAK AIRPORT AK US,11,75.77361111111111
227,KODIAK AIRPORT AK US,12,80.46236559139786
228,KOTZEBUE RALPH WEIN MEMORIAL AIRPORT AK ,1,75.2002688172043
229,KOTZEBUE RALPH WEIN MEMORIAL AIRPORT AK ,2,71.88541666666667
230,KOTZEBUE RALPH WEIN MEMORIAL AIRPORT AK ,3,77.53494623655914
231,KOTZEBUE RALPH WEIN MEMORIAL AIRPORT AK ,4,71.25833333333334
232,KOTZEBUE RALPH WEIN MEMORIAL AIRPORT AK ,5,87.0752688172043
233,KOTZEBUE RALPH WEIN MEMORIAL AIRPORT AK ,6,84.02638888888889
234,KOTZEBUE RALPH WEIN MEMORIAL AIRPORT AK ,7,78.71370967741936
235,KOTZEBUE RALPH WEIN MEMORIAL AIRPORT AK ,8,83.3991935483871
236,KOTZEBUE RALPH WEIN MEMORIAL AIRPORT AK ,9,82.90972222222223
237,KOTZEBUE RALPH WEIN MEMORIAL AIRPORT AK ,10,81.66532258064517
238,KOTZEBUE RALPH WEIN MEMORIAL AIRPORT AK ,11,80.8
239,KOTZEBUE RALPH WEIN MEMORIAL AIRPORT AK ,12,81.4247311827957
240,MATANUSKA AGRICULTURAL EXPERIMENT STATION AK US,1,75.21639784946237
241,MATANUSKA AGRICULTURAL EXPERIMENT STATION AK US,2,73.93452380952381
242,MATANUSKA AGRICULTURAL EXPERIMENT STATION AK US,3,61.42607526881721
243,MATANUSKA AGRICULTURAL EXPERIMENT STATION AK US,4,58.640277777777776
244,MATANUSKA AGRICULTURAL EXPERIMENT STATION AK US,5,68.86693548387096
245,MATANUSKA AGRICULTURAL EXPERIMENT STATION AK US,6,50.59861111111111
246,MATANUSKA AGRICULTURAL EXPERIMENT STATION AK US,7,69.83602150537635
247,MATANUSKA AGRICULTURAL EXPERIMENT STATION AK US,8,71.78763440860214
248,MATANUSKA AGRICULTURAL EXPERIMENT STATION AK US,9,61.956944444444446
249,MATANUSKA AGRICULTURAL EXPERIMENT STATION AK US,10,74.2997311827957
250,MATANUSKA AGRICULTURAL EXPERIMENT STATION AK US,11,77.97916666666667
251,MATANUSKA AGRICULTURAL EXPERIMENT STATION AK US,12,72.56317204301075
252,MCGRATH AIRPORT AK US,1,70.06451612903226
253,MCGRATH AIRPORT AK US,2,76.04017857142857
254,MCGRATH AIRPORT AK US,3,68.51344086021506
255,MCGRATH AIRPORT AK US,4,63.227777777777774
256,MCGRATH AIRPORT AK US,5,63.32258064516129
257,MCGRATH AIRPORT AK US,6,63.7875
258,MCGRATH AIRPORT AK US,7,70.83333333333333
259,MCGRATH AIRPORT AK US,8,76.01747311827957
260,MCGRATH AIRPORT AK US,9,75.21805555555555
261,MCGRATH AIRPORT AK US,10,80.40188172043011
262,MCGRATH AIRPORT AK US,11,79.15
263,MCGRATH AIRPORT AK US,12,83.5524193548387
264,NOME MUNICIPAL AIRPORT AK US,1,77.09005376344086
265,NOME MUNICIPAL AIRPORT AK US,2,69.53125
266,NOME MUNICIPAL AIRPORT AK US,3,63.34543010752688
267,NOME MUNICIPAL AIRPORT AK US,4,64.02777777777777
268,NOME MUNICIPAL AIRPORT AK US,5,75.79032258064517
269,NOME MUNICIPAL AIRPORT AK US,6,75.99861111111112
270,NOME MUNICIPAL AIRPORT AK US,7,77.7002688172043
271,NOME MUNICIPAL AIRPORT AK US,8,82.45161290322581
272,NOME MUNICIPAL AIRPORT AK US,9,78.72638888888889
273,NOME MUNICIPAL AIRPORT AK US,10,71.63172043010752
274,NOME MUNICIPAL AIRPORT AK US,11,81.86527777777778
275,NOME MUNICIPAL AIRPORT AK US,12,61.608870967741936
276,NORTHWAY AIRPORT AK US,1,77.36693548387096
277,NORTHWAY AIRPORT AK US,2,77.90625
278,NORTHWAY AIRPORT AK US,3,64.5752688172043
279,NORTHWAY AIRPORT AK US,4,56.62777777777778
280,NORTHWAY AIRPORT AK US,5,54.07258064516129
281,NORTHWAY AIRPORT AK US,6,56.125
282,NORTHWAY AIRPORT AK US,7,64.99193548387096
283,NORTHWAY AIRPORT AK US,8,65.88172043010752
284,NORTHWAY AIRPORT AK US,9,75.84722222222223
285,NORTHWAY AIRPORT AK US,10,84.44220430107526
286,NORTHWAY AIRPORT AK US,11,74.08888888888889
287,NORTHWAY AIRPORT AK US,12,77.04569892473118
288,SEWARD AIRPORT AK US,1,82.64112903225806
289,SEWARD AIRPORT AK US,2,77.43452380952381
290,SEWARD AIRPORT AK US,3,73.22715053763442
291,SEWARD AIRPORT AK US,4,75.30277777777778
292,SEWARD AIRPORT AK US,5,68.24731182795699
293,SEWARD AIRPORT AK US,6,72.53472222222223
294,SEWARD AIRPORT AK US,7,83.61962365591398
295,SEWARD AIRPORT AK US,8,72.74731182795699
296,SEWARD AIRPORT AK US,9,71.58611111111111
297,SEWARD AIRPORT AK US,10,73.41397849462365
298,SEWARD AIRPORT AK US,11,71.78194444444445
299,SEWARD AIRPORT AK US,12,85.0013440860215
300,SITKA AIRPORT AK US,1,69.71908602150538
301,SITKA AIRPORT AK US,2,64.04613095238095
302,SITKA AIRPORT AK US,3,66.38575268817205
303,SITKA AIRPORT AK US,4,62.81388888888889
304,SITKA AIRPORT AK US,5,73.60349462365592
305,SITKA AIRPORT AK US,6,81.18472222222222
306,SITKA AIRPORT AK US,7,86.88978494623656
307,SITKA AIRPORT AK US,8,85.57661290322581
308,SITKA AIRPORT AK US,9,79.73333333333333
309,SITKA AIRPORT AK US,10,73.67876344086021
310,SITKA AIRPORT AK US,11,65.77777777777777
311,SITKA AIRPORT AK US,12,63.75403225806452
312,ST PAUL ISLAND AIRPORT AK US,1,85.29032258064517
313,ST PAUL ISLAND AIRPORT AK US,2,91.76190476190476
314,ST PAUL ISLAND AIRPORT AK US,3,81.44489247311827
315,ST PAUL ISLAND AIRPORT AK US,4,86.325
316,ST PAUL ISLAND AIRPORT AK US,5,81.98118279569893
317,ST PAUL ISLAND AIRPORT AK US,6,90.01805555555555
318,ST PAUL ISLAND AIRPORT AK US,7,92.41397849462365
319,ST PAUL ISLAND AIRPORT AK US,8,93.27553763440861
320,ST PAUL ISLAND AIRPORT AK US,9,87.99166666666666
321,ST PAUL ISLAND AIRPORT AK US,10,82.6008064516129
322,ST PAUL ISLAND AIRPORT AK US,11,77.39861111111111
323,ST PAUL ISLAND AIRPORT AK US,12,80.51075268817205
324,TALKEETNA AIRPORT AK US,1,74.93413978494624
325,TALKEETNA AIRPORT AK US,2,81.29017857142857
326,TALKEETNA AIRPORT AK US,3,66.34139784946237
327,TALKEETNA AIRPORT AK US,4,66.08888888888889
328,TALKEETNA AIRPORT AK US,5,63.36424731182796
329,TALKEETNA AIRPORT AK US,6,61.56666666666667
330,TALKEETNA AIRPORT AK US,7,74.1008064516129
331,TALKEETNA AIRPORT AK US,8,79.44623655913979
332,TALKEETNA AIRPORT AK US,9,82.65694444444445
333,TALKEETNA AIRPORT AK US,10,84.11962365591398
334,TALKEETNA AIRPORT AK US,11,77.82916666666667
335,TALKEETNA AIRPORT AK US,12,80.26747311827957
336,TANANA CALHOUN MEMORIAL AIRPORT AK US,1,75.36962365591398
337,TANANA CALHOUN MEMORIAL AIRPORT AK US,2,69.89583333333333
338,TANANA CALHOUN MEMORIAL AIRPORT AK US,3,56.725806451612904
339,TANANA CALHOUN MEMORIAL AIRPORT AK US,4,66.54027777777777
340,TANANA CALHOUN MEMORIAL AIRPORT AK US,5,55.99193548387097
341,TANANA CALHOUN MEMORIAL AIRPORT AK US,6,58.15138888888889
342,TANANA CALHOUN MEMORIAL AIRPORT AK US,7,75.08870967741936
343,TANANA CALHOUN MEMORIAL AIRPORT AK US,8,70.0
344,TANANA CALHOUN MEMORIAL AIRPORT AK US,9,69.56388888888888
345,TANANA CALHOUN MEMORIAL AIRPORT AK US,10,81.04301075268818
346,TANANA CALHOUN MEMORIAL AIRPORT AK US,11,81.11805555555556
347,TANANA CALHOUN MEMORIAL AIRPORT AK US,12,75.73387096774194
348,VALDEZ WEATHER SERVICE OFFICE AK US,1,69.69086021505376
349,VALDEZ WEATHER SERVICE OFFICE AK US,2,77.52529761904762
350,VALDEZ WEATHER SERVICE OFFICE AK US,3,69.19220430107526
351,VALDEZ WEATHER SERVICE OFFICE AK US,4,77.05833333333334
352,VALDEZ WEATHER SERVICE OFFICE AK US,5,78.36290322580645
353,VALDEZ WEATHER SERVICE OFFICE AK US,6,74.28888888888889
354,VALDEZ WEATHER SERVICE OFFICE AK US,7,79.59543010752688
355,VALDEZ WEATHER SERVICE OFFICE AK US,8,84.69489247311827
356,VALDEZ WEATHER SERVICE OFFICE AK US,9,86.78472222222223
357,VALDEZ WEATHER SERVICE OFFICE AK US,10,76.49327956989248
358,VALDEZ WEATHER SERVICE OFFICE AK US,11,48.06111111111111
359,VALDEZ WEATHER SERVICE OFFICE AK US,12,76.45564516129032
360,WRANGELL AIRPORT AK US,1,70.73790322580645
361,WRANGELL AIRPORT AK US,2,72.32738095238095
362,WRANGELL AIRPORT AK US,3,69.11693548387096
363,WRANGELL AIRPORT AK US,4,67.72916666666667
364,WRANGELL AIRPORT AK US,5,78.75672043010752
365,WRANGELL AIRPORT AK US,6,77.69722222222222
366,WRANGELL AIRPORT AK US,7,84.97446236559139
367,WRANGELL AIRPORT AK US,8,75.59811827956989
368,WRANGELL AIRPORT AK US,9,79.56805555555556
369,WRANGELL AIRPORT AK US,10,78.79838709677419
370,WRANGELL AIRPORT AK US,11,73.98472222222222
371,WRANGELL AIRPORT AK US,12,78.35887096774194
372,YAKUTAT AIRPORT AK US,1,86.20833333333333
373,YAKUTAT AIRPORT AK US,2,72.66517857142857
374,YAKUTAT AIRPORT AK US,3,80.80376344086021
375,YAKUTAT AIRPORT AK US,4,80.22777777777777
376,YAKUTAT AIRPORT AK US,5,84.90053763440861
377,YAKUTAT AIRPORT AK US,6,84.49583333333334
378,YAKUTAT AIRPORT AK US,7,84.11693548387096
379,YAKUTAT AIRPORT AK US,8,86.67876344086021
380,YAKUTAT AIRPORT AK US,9,82.60555555555555
381,YAKUTAT AIRPORT AK US,10,86.7258064516129
382,YAKUTAT AIRPORT AK US,11,85.64027777777778
383,YAKUTAT AIRPORT AK US,12,88.6975806451613
